,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
39,3121,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,125,Clean,Very safe,Neutral,Michael Ward,Not a fan
41,2890,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,145,Average,Neutral,Somewhat satsified,Michael Ward,Not a fan
42,3046,Tuesday,AMERICAN,LOS ANGELES,West US,Hub     ,Gates 50-59,12/31/2018,120,Average,Very safe,Very satisfied,Michael Ward,Not a fan
43,3183,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,900,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,Not a fan
44,2288,Tuesday,UNITED,SAN ANTONIO,Midwest US,    Medium,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied,Michael Ward,Not a fan
45,2740,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,12/31/2018,330,Average,Very unsafe,Somewhat satsified,Michael Ward,Not a fan
46,1570,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,150,Clean,Somewhat safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
47,3228,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,110,Clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
48,1140,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,415,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
49,349,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,12/31/2018,76,Clean,Very safe,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
50,1572,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,150,Somewhat clean,Neutral,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
52,1635,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,210,Somewhat dirty,Somewhat safe,Neutral,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
56,524,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,165,Somewhat clean,Somewhat safe,Neutral,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
57,1139,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,120,Average,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
58,314,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,122,Clean,Very safe,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
59,558,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,225,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
60,262,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
61,2537,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,    Hub,Gates 60-69,12/31/2018,115,Clean,Very safe,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
62,1713,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,135,Average,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
63,407,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,12/31/2018,110,Clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
64,3212,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,90,Somewhat clean,Somewhat safe,Somewhat unsatisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
65,450,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,68,Clean,Somewhat safe,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
66,1477,Wednesday,AVIANCA,SAN SALVADOR,Central/South America,Small,Gates 1-12,12/31/2018,155,Clean,Very safe,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
67,3151,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,15,Average,Very safe,Neutral,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
68,2257,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,65,Clean,Very safe,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
69,2400,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,205,Clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
70,2230,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,300,Average,Somewhat safe,Neutral,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
71,2865,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,12/31/2018,77,Average,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
72,387,Friday,ALASKA,INDIANAPOLIS,Midwest US,    Medium,Gates 50-59,12/31/2018,160,Clean,Very safe,Very satisfied,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
73,1957,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,12/31/2018,185,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
74,2526,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,60,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
75,3041,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,12/31/2018,185,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
76,813,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
77,1523,Wednesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,12/31/2018,81,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
78,2796,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,160,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
79,3255,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,105,Average,Somewhat safe,Neutral,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
80,2042,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,180,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,"The airport personnell forgot to alert us of delayed flights, the bathrooms could have been cleaner"
81,3062,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,215,Clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
82,2026,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
83,1793,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,150,Clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
84,1366,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,170,Clean,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
85,1017,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,110,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
86,2501,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,12/31/2018,120,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
88,3202,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,1/1/2018,210,Clean,Neutral,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
89,1747,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,205,Clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
90,1954,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,245,Clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
91,643,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,12/31/2018,160,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
93,2258,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,355,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
94,2334,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
95,1887,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,85,Somewhat clean,Neutral,Neutral,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
97,363,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
99,2443,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,177,Clean,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
100,2321,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,130,Unacceptable,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
101,1593,Thursday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,50,Clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
103,716,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,270,Clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
104,2320,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
106,2038,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,12/31/2018,150,Average,Somewhat safe,Neutral,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
107,550,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,245,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
108,746,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,120,Clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
109,2739,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,32,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
110,1984,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,12/31/2018,115,Average,Neutral,Somewhat unsatisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
111,2566,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,103,Clean,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
112,2200,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
113,340,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,240,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
114,1252,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,120,Somewhat clean,Somewhat safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
115,1946,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,305,Clean,Very safe,Neutral,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
116,2627,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,75,Clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
117,1563,Wednesday,DELTA,ATLANTA,East US,Hub,Gates 40-48,12/31/2018,135,Somewhat clean,Somewhat safe,Neutral,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
118,752,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,235,Somewhat clean,Somewhat safe,Neutral,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
120,3135,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,70,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
121,1123,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,90,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
122,2220,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,95,Somewhat clean,Very safe,Very satisfied,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
123,3065,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,112,Average,Neutral,Neutral,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
124,3052,Tuesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,125,Clean,Somewhat safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
125,2847,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,12/31/2018,142,Average,Very safe,Somewhat satsified,Michael Ward,The food in the airport was really really expensive - also no automatic escalators!
127,884,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,85,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
128,2054,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
129,1571,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,12/31/2018,155,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
130,747,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,120,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
132,1799,Sunday,ALASKA,RALEIGH-DURHAM,EAST US,    Medium,Gates 50-59,12/31/2018,265,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
134,2281,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,12/31/2018,225,Average,Neutral,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
135,2711,Friday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,12/31/2018,122,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
136,917,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,90,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
137,2091,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,12/31/2018,97,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
139,265,Friday,AIR CANADA,TORONTO,Canada/Mexico,    Hub,Gates 91-102,12/31/2018,415,Average,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
140,2387,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,135,Somewhat clean,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
141,3254,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,150,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
142,772,Thursday,UNITED INTL,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 91-102,12/31/2018,90,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
143,465,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,131,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
144,374,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,105,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
145,367,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,135,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
146,2113,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,514,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
148,1970,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
149,1012,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,185,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
150,1739,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,75,Somewhat clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
151,2004,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,170,Somewhat clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
152,2016,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,98,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
153,2262,Saturday,UNITED,BAKERSFIELD,West US,    Small,Gates 70-90,12/31/2018,166,Somewhat dirty,Very safe,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
154,2482,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,12/31/2018,90,Somewhat clean,Neutral,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
155,2969,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,65,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
156,2575,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,90,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
